43df0d64d9f,GitHub,Christos Soulios,Lower minimum compatibility of aggregate_metric_double field (#65000),Tue Nov 17 19:13:43 2020 +0200
12d412ebad9,GitHub,Armin Braun,Fix Two Snapshot Clone State Machine Bugs (#65042),Tue Nov 17 17:48:18 2020 +0100
fd675fd8361,GitHub,Rory Hunter,Introduce licensed plugins (#64850),Tue Nov 17 16:21:57 2020 +0000
ebd099689e5,GitHub,Benjamin Trent,[ML] Autoscaling for machine learning (#59309),Tue Nov 17 10:54:11 2020 -0500
0b69d91b552,GitHub,Lyudmila Fokina,Adding doc for the new API introduced by #64517 - /_security/saml/metadata/{realm} (#65065),Tue Nov 17 16:42:53 2020 +0100
f1cf7c14025,Rory Hunter,Rory Hunter,Don't define tasks for building IronBank Docker images,Tue Nov 17 15:12:12 2020 +0000
2917d751fd6,GitHub,Armin Braun,Remove Dead Code from CancellableThreads (#65132),Tue Nov 17 15:59:43 2020 +0100
aa1ea96b869,Nik Everett,Nik Everett,Better mimick real reduction in test,Tue Nov 17 09:55:33 2020 -0500
36d308bc23c,GitHub,James Rodewig,[DOCS] EQL: Update docs for null tiebreakers (#65078),Tue Nov 17 09:31:49 2020 -0500
254807956f5,GitHub,James Rodewig,[DOCS] EQL: Document result_position param (#65075),Tue Nov 17 09:07:51 2020 -0500
51afe70075d,GitHub,Armin Braun,Add Package-Level Docs for Peer Recovery (#64522),Tue Nov 17 14:51:38 2020 +0100
978fd5185c4,GitHub,Dimitris Athanasiou,[ML] Increase timeout waiting for DFA jobs to finish in integ tests (#65126),Tue Nov 17 14:49:43 2020 +0200
b7bebfd9172,GitHub,Armin Braun,Remove Redundant use of Cancellable Threads in PeerRecoveryTargetService (#65119),Tue Nov 17 13:45:09 2020 +0100
bc9be520da0,GitHub,Armin Braun,Fix testSnapshotCanceledOnRemovedShard (#65096),Tue Nov 17 13:38:51 2020 +0100
9157f0eb2fc,GitHub,Adrien Grand,Update file extensions. (#62019),Tue Nov 17 13:28:21 2020 +0100
077d2064303,GitHub,Luca Cavanna,Add tests for dynamic mapping update with runtime fields (#65116),Tue Nov 17 11:52:35 2020 +0100
1c3231868a2,GitHub,Valeriy Khakhutskyy,[TEST] Mute HistoryTemplateIndexActionMappingsTests.testIndexActionFields (#65092),Tue Nov 17 09:45:59 2020 +0100
33ca5a7ef26,James Rodewig,James Rodewig,[DOCS] Fix typo,Mon Nov 16 21:34:41 2020 -0500
c5f4160f5ad,GitHub,Julie Tibshirani,Move the shared fetch cache to highlighting. (#65105),Mon Nov 16 17:59:05 2020 -0800
1cedcb4f2d2,GitHub,Nik Everett,Drop a ctor (#64969),Mon Nov 16 14:17:41 2020 -0500
e6dec9fb5db,Mark Vieira,Mark Vieira,Remove reference to 7.9.4 relase which won't happen,Mon Nov 16 10:29:49 2020 -0800
d3c6fd29c98,GitHub,Jack Conradson,Revert null-safe behavior to error at runtime instead of compiletime (#65099),Mon Nov 16 10:27:03 2020 -0800
a3063889a28,GitHub,Lyudmila Fokina,Adds realm name OIDC `_security/oidc/prepare` and `_security/oidc/authenticate` APIs responses (#64966),Mon Nov 16 19:10:01 2020 +0100
450fb552b43,GitHub,Nik Everett,Support global ords in top_metrics (#64967),Mon Nov 16 12:52:47 2020 -0500
e4a90d56f76,GitHub,bellengao,Fix parsing RareTerms aggregation response failed in RestHighLevelClient (#64454),Mon Nov 16 18:50:53 2020 +0100
9fef6e7b7e2,GitHub,Lisa Cawley,[DOCS] Adds new snapshot upgrade API (#65095),Mon Nov 16 09:48:07 2020 -0800
750247ce691,GitHub,Valeriy Khakhutskyy,[TEST]  Mute HistoryTemplateTimeMappingsTests.testTimeFields (#65090),Mon Nov 16 17:27:04 2020 +0100
b0a98f95153,GitHub,Adam Locke,[DOCS] Adding authorization_realms setting for OIDC (#64877),Mon Nov 16 11:22:46 2020 -0500
eb7de5085db,GitHub,Valeriy Khakhutskyy,[TEST] Mute ExecutionVarsIntegrationTests.testVars  (#65088),Mon Nov 16 17:13:20 2020 +0100
d6921dc0e49,GitHub,Armin Braun,Fix Needless WARN Logging during Snapshot ABORT (#65077),Mon Nov 16 16:55:25 2020 +0100
95a0ed43047,GitHub,István Zoltán Szabó,[DOCS] Adds recommendation about when to use chunking_config in manual mode. (#65060),Mon Nov 16 16:12:07 2020 +0100
baec352ce9a,GitHub,Armin Braun,Cleanup Snapshot ITs Further (#63985),Mon Nov 16 16:05:28 2020 +0100
67fbc1d2156,GitHub,David Roberts,[ML] The ML plugin doesn't need socket permissions (#65067),Mon Nov 16 15:01:44 2020 +0000
93dc883abd6,GitHub,Costin Leau,EQL: Allow null tiebreakers inside ordinals/sequences (#65033),Mon Nov 16 16:40:54 2020 +0200
923b2b90c5d,GitHub,Dan Hermann,Remove the deprecated local parameter for _cat/indices (#64868),Mon Nov 16 07:53:16 2020 -0600
0a2891e1e26,GitHub,Dan Hermann,[DOCS] Data stream migration API (#65017),Mon Nov 16 07:50:51 2020 -0600
95b1f2ebbbf,GitHub,Valeriy Khakhutskyy, [TEST] Mute WebhookIntegrationTests.testWebhook #65068,Mon Nov 16 14:44:51 2020 +0100
fcaa64d51c2,GitHub,Valeriy Khakhutskyy, [TEST] Mute HistoryActionConditionTests.testActionCondition #65066,Mon Nov 16 14:44:23 2020 +0100
1e13b112132,GitHub,James Rodewig,[DOCS] Document reloadable Watcher settings (#64998),Mon Nov 16 08:34:45 2020 -0500
f95a52f2809,GitHub,James Rodewig,[DOCS] Clarify diff between shards per node settings (#64875),Mon Nov 16 08:33:04 2020 -0500
cde2bfabd14,Rene Groeschke,Rene Groeschke,Fix localDistro task,Mon Nov 16 13:24:00 2020 +0100
e07adb75c97,GitHub,Rory Hunter,Support building Iron Bank Docker context (#64336),Mon Nov 16 12:21:35 2020 +0000
988583efb87,GitHub,Valeriy Khakhutskyy, [TEST] Mute SingleNodeTest.testThatLoadingWithNonExistingIndexWorks #65058,Mon Nov 16 13:12:10 2020 +0100
43dbbbc022b,GitHub,Dimitris Athanasiou,[ML] Add debug logging showing extracted rows for DFA jobs (#65007),Mon Nov 16 13:28:40 2020 +0200
11dc07e2654,GitHub,Valeriy Khakhutskyy,[TEST] Mute HistoryTemplateEmailMappingsTests.testEmailFields #65053,Mon Nov 16 11:57:48 2020 +0100
93856a4a7ea,GitHub,Valeriy Khakhutskyy,[TEST] Mute HistoryActionConditionTests.testActionConditionWithFailures #65049,Mon Nov 16 11:39:42 2020 +0100
62e1d113b71,GitHub,Howard,Tidy up shard sort logic (#65045),Mon Nov 16 10:25:01 2020 +0000
